Counter,Date/time,Latitude,Longitude,Temperature,Humidity,Pressure,Magnetic Field,Acceleration,Orientation,Image file,Image type,sunlight
59,2022-04-24 17:40:00.664794,33.73586332756108,155.2985757225245,27.3979,50.7892,1009.2559,"17.091157913208008,-14.471689224243164,14.705470085144043","0.014639999717473984,-0.005123999901115894,-0.009759999811649323","304.4447610082066,183.01083799983365,239.72829173551267",/home/pi/msl/weeagles/photo_059.jpg,twilight,Yes
60,2022-04-24 17:40:48.470732,35.77403761561115,157.93429359662215,27.3719,50.8168,1009.2688,"16.33207130432129,-14.006265640258789,16.380996704101562","0.018055999651551247,-0.006587999872863293,-0.007075999863445759","299.96323142204574,193.986624146964,239.22207909536633",/home/pi/msl/weeagles/photo_060.jpg,twilight,Yes
61,2022-04-24 17:41:36.543950,37.74030359552153,160.7140133019382,27.405,50.8904,1009.2866,"15.620068550109863,-13.562663078308105,18.011180877685547","0.017324000597000122,-0.006099999882280827,-0.007075999863445759","298.16996525545886,197.6897068281348,241.96355310366937",/home/pi/msl/weeagles/photo_061.jpg,night,Yes
62,2022-04-24 17:42:27.376588,39.744836353669314,163.84616413568367,27.2671,50.7862,1009.2861,"15.016240119934082,-13.86380672454834,19.466632843017578","0.018055999651551247,-0.007075999863445759,-0.00634399987757206","293.59429858706227,203.02064215457307,243.63458620486966",/home/pi/msl/weeagles/photo_062.jpg,night,Yes
63,2022-04-24 17:43:17.851477,41.64562518317973,167.16996084571028,27.0491,50.8475,1009.272,"14.502557754516602,-13.364142417907715,20.94832420349121","0.01512799970805645,-0.003903999924659729,-0.007075999863445759","295.73269421240985,203.94846871180593,245.01022728484526",/home/pi/msl/weeagles/photo_063.jpg,night,Yes
64,2022-04-24 17:44:08.798756,43.431198850157585,170.7016326050967,27.2039,50.8475,1009.3445,"13.73315143585205,-13.171202659606934,21.73125457763672","0.017079999670386314,-0.007563999854028225,-0.011467999778687954","296.99308268033064,208.921078654007,231.58061371611782",/home/pi/msl/weeagles/photo_064.jpg,night,Yes
65,2022-04-24 17:44:59.444352,45.07969095729311,174.4341773179084,27.3948,50.8812,1009.3118,"13.297296524047852,-12.92111873626709,22.832799911499023","0.01903199963271618,-0.006587999872863293,-0.006099999882280827","298.1580738961139,214.49008705415523,229.37227695366929",/home/pi/msl/weeagles/photo_065.jpg,day,Yes
66,2022-04-24 17:45:48.408382,46.52679862203801,178.2268519955566,27.4644,51.0743,1009.2834,"12.491044044494629,-12.400043487548828,23.695199966430664","0.01634800061583519,-0.004879999905824661,-0.008051999844610691","291.2258212093336,213.53226230608766,235.77443182877568",/home/pi/msl/weeagles/photo_066.jpg,day,Yes
67,2022-04-24 17:46:37.373674,47.834827649461026,-177.74764855756698,27.1745,50.9149,1009.2639,"11.791521072387695,-11.968524932861328,24.43556022644043","0.01512799970805645,-0.003415999934077263,-0.008051999844610691","293.8565368700557,216.29816107086268,240.44619925879437",/home/pi/msl/weeagles/photo_067.jpg,day,Yes
68,2022-04-24 17:47:25.914233,48.97946294253311,-173.51791917959304,27.2236,51.0375,1009.2646,"11.180951118469238,-11.964265823364258,25.410066604614258","0.015615999698638916,-0.005123999901115894,-0.006831999868154526","295.94656792589046,222.4914897422851,237.26890453993116",/home/pi/msl/weeagles/photo_068.jpg,day,Yes
69,2022-04-24 17:48:14.363032,49.93871117195849,-169.1359419446097,27.2046,50.8138,1009.2605,"10.66004753112793,-11.618633270263672,26.662797927856445","0.015371999703347683,-0.004879999905824661,-0.007807999849319458","291.7295340002437,225.3787199874762,236.59136343464422",/home/pi/msl/weeagles/photo_069.jpg,day,Yes
